reflo,locx,locy,geometry
-713,-7.4,13.4,660582.897861459|6761958.81663303
-310,-3.1,10.1,660631.026682027|6761801.38464147
F20,6,19.9,661032.032568949|6761872.23066017
N.2.,14.5,2.5,660933.352603408|6761299.20938488
K17.,11.1,17.5,661116.121967283|6761721.96122435
K.15.,11.5,15.5,661090.428803173|6761666.56098556
L.17,12.3,16.8,661133.497513251|6761683.34704289
H.4,8.4,4,660808.345206229|6761445.95676485
C.17,3.6,16.9,660918.871112983|6761843.54243326
-3.0,-3.8,0,660433.579496778|6761570.97576373
G5,7,5,660791.344843866|6761495.4215323
A8,0.9,8.1,660694.868965962|6761680.68695342
-310,-3,13,660685.202722413|6761869.37560111
0.12,0.7,12.2,660762.972210515|6761783.00577478
-413,-4.1,13.3,660663.190706948|6761896.54972201
-611.,-6.1,11.8,660586.712346156|6761896.7226846
-73,-7,3.1,660409.250827277|6761703.64143822
J.19,10.7,19,661132.903749771|6761765.32511622
-513,-5.3,12.8,660624.433117535|6761906.28148583
I.2,9.5,1.8,660796.492843317|6761373.04783671
C.0.,3.8,0.6,660633.313746401|6761447.55367908
C.19.,3.5,19,660953.809434066|6761895.90750406
D4,4,4,660698.895918849|6761525.76608984
G.6.,7.5,6.5,660830.519267371|6761522.45958911
M.0.,13.5,0.5,660872.825035934|6761269.20314519
M7,13,7,660976.247765582|6761434.73958244
G.2,7.3,2,660745.331811036|6761417.76648852
E14.,4.9,14.6,660910.215693534|6761764.59839507
-515,-5,15.7,660683.581731949|6761970.64458142
L6,11.9,5.9,660929.277297112|6761428.21106799
-27,-2,6.8,660599.565459742|6761701.99889654
-7.9,-7.8,9.2,660498.088447391|6761864.97839456
0.13.,-0.4,13.6,660760.564634746|6761836.65765726
-711,-7.2,11.1,660546.877305229|6761899.82727642
-312,-3,12.2,660670.943948134|6761850.11900143
B.10.,2.7,10.7,660785.983515109|6761710.62229215
K.0.,11.5,0.5,660823.071760381|6761305.47883456
K3,11,3.1,660856.979635816|6761377.13376826
I1,9,1.2,660773.359621259|6761367.67422218
6.5,-7.5,6.2,660452.074865428|6761787.32715587
E7,5.2,7,660782.219619572|6761576.21293506
A.14.,1.6,14.4,660824.568651754|6761819.63835555
A10.,1,10.5,660740.1340696|6761736.64333354
A10,1,10,660731.222152859|6761724.60781696
05,0,5,660617.226177159|6761622.39326778
0.5.,0.5,6.6,660658.1827907|6761651.83646765
-2.11,-2.4,11,660664.478790337|6761810.35073829
-36.,-2.9,6.5,660571.832736763|6761711.10348483
-38,-3,8,660596.082729521|6761749.02283343
K.15,11.7,14.9,661084.710730743|6761648.49005862
J2,10.8,1.6,660825.266513119|6761344.65403476
N.2.,14.2,2.4,660924.10700023|6761302.24337135
-4.10,-4.6,10,660591.936355493|6761826.18676456
A5.,1,5.3,660647.447047192|6761611.47510203
E9.,5,9.5,660821.805018703|6761640.01896737
E3.,5,3.5,660714.857701181|6761495.59185127
O1,15,1,660919.053376942|6761254.03278083
P1,16,1,660943.930748067|6761235.89551256
O.8,15.5,8,661056.26324463|6761413.47036282
C8.,3,8.5,660754.233052626|6761652.22413527
-6.8,-6.5,8,660509.031329044|6761812.51232305
-8.12,-8.5,12,660530.586823855|6761945.07223385
C17,3,12.2,660820.180720654|6761741.287923
O.10,15.7,9.9,661095.102957848|6761455.5813331
-1.1.,-1.5,1.5,660517.52654512|6761565.35735973
-313,-3,13,660685.202722413|6761869.37560111
