grid,stake,comments,geometry
KL,-89,"",660485.630545647|6761866.32347962
KL,-810,"",660505.187113671|6761889.51548801
KL,-811,"",660519.079796091|6761918.02781605
KL,-812,"",660531.009217342|6761941.98997924
KL,-813,"",660545.694644602|6761964.96167412
KL,-73,Repaint,660398.731187065|6761689.5145637
KL,-74,"",660416.225337891|6761710.38201541
KL,-75,"",660432.88873698|6761725.6353222
KL,-76,"",660449.199374524|6761748.68006373
KL,-77,"",660467.42262592|6761777.38811772
KL,-78,"",660485.104385883|6761806.07177165
KL,-79,"",660502.496627578|6761829.1657665
KL,-710,"",660514.61491457|6761860.94371986
KL,-711,"",660537.757889335|6761888.75963372
KL,-712,"",660556.52078053|6761917.49267513
KL,-713,"",660575.044693732|6761939.52301122
KL,-63,"",660427.918257315|6761679.68187321
KL,-64,"",660449.049545576|6761704.06006878
KL,-65,"",660466.543335823|6761724.92777399
KL,-66,"",660488.114487787|6761751.55680706
KL,-67,"",660501.769118659|6761773.3662543
KL,-68,"",660520.381803108|6761805.43824016
KL,-69,"",660536.590673158|6761830.70949799
KL,-610,"",660558.600953732|6761859.58958429
KL,-611,"",660575.992442319|6761882.68395074
KL,-612,"",660592.792108995|6761906.86694025
KL,-613,"",660609.288970029|6761937.72830788
KL,-52,"",660440.756984781|6761635.64965099
KL,-53,"",660459.031350872|6761663.2445997
KL,-54,"",660479.180916543|6761685.34788682
KL,-55,Stake Broken,660496.133448249|6761706.19124165
KL,-56,"",660517.16332761|6761732.79595266
KL,-57,"",660532.881818185|6761756.92963409
KL,-58,"",660549.242077001|6761778.86179733
KL,-59,"",660564.519764842|6761800.74501807
KL,-510,"",660577.6325484|6761822.53025682
KL,-511,"",660601.894616034|6761861.55062496
KL,-512,"",660613.585125117|6761878.81025814
KL,-513,"",660633.039955749|6761904.22908265
KL,-514,"",660651.95333553|6761929.62349408
KL,-515,"",660666.197805802|6761950.34507612
KL,-40,"",660440.606896875|6761591.02966178
KL,-41,"",660449.794621885|6761603.71407083
KL,-42,"",660466.98669941|6761631.26007351
KL,-43,"",660484.430409025|6761653.24091274
KL,-44,"",660501.773116242|6761677.44794122
KL,-45,"",660520.24836046|6761700.59101517
KL,-46,"",660541.920101498|6761724.99427853
KL,-47,"",660556.808132528|6761743.51380514
KL,-48,"",660575.131407276|6761769.99632482
